Xpath;Nome;Definição;Tipo de Dado;Tamanho;Mandatoriedade;Formato;Domínio;Mínimo de Ocorrências;Máximo de Ocorrências;Restrições;Nulidade;Tipo de Dado Json;Exemplo;Tamanho mínimo
/data;data;Dados referentes para realização da liquidação da operação;Objeto;;Obrigatório;;;1;1;"";Não permitido;object;;
/data/strCode;strCode;;Objeto;;Obrigatório;;;1;1;"";Não permitido;object;;
/data/strCode/isbpIfCredora;isbpIfCredora;Número do ISBP da Instituição credora;Número;;Obrigatório;;;1;1;"";Não permitido;number;;
/data/strCode/agency;agency;Número da Agência creditada;Número;;Obrigatório;;;1;1;"";Não permitido;number;;
